Comment,Designator,Footprint,LCSC,Quantity
TMUX1108PWR,"U91,U92",TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,C1021800,2
4.7µF,"C123,C126,C127",CAPC1608X06L,C108342,3
3.16k,R11,R_0402_1005Metric,C11462,1
1k,R101,R_0402_1005Metric,C11702,1
533980271,J11,MOLEX_533980271,C122410,1
330,R102,R_0402_1005Metric,C12246,1
PRTR5V0U2X,D51,SOT-143,C12333,1
100nF,"C1210,C1214,C124,C128",CAPC1005X04L,C1525,4
10k,"R34,R64,R7102,R7112,R712,R7122,R7132,R7142,R7152,R7162,R722,R732,R742,R752,R762,R772,R782,R792",R_0402_1005Metric,C15401,18
1u,"C113,C33",C_0402_1005Metric,C15684,2
12pF,"C121,C1216,C1217,C122",CAPC1005X04L,C161304,4
1n,"C51,C52",C_0603_1608Metric,C1636,2
15n,"C38,C39",C_0805_2012Metric,C1718,2
nRF52840-QIAA,U121,AQFN50P700X700X85_HS-74N,C190794,1
10u,"C112,C310,C32,C35,C36,C37,C812,C814,C822,C824,C834,C842,C844,C852,C854,C862,C864,C872,C874,C882,C884",C_0603_1608Metric,C19702,21
OPA320AIDBVT,U22,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,C206063,1
LM27761DSGT,U31,WFDFN-8_L2.0-W2.0-P0.50-BL-EP,C2070605,1
REF3330AIDCKR,U41,SC-70-3_L2.0-W1.3-P0.65-LS2.1-BL,C2157700,1
K3-1280S-L1,SW11,SW_Nidec_CAS-120A1,C223845,1
1M,"R7103,R7104,R7105,R7106,R7107,R7113,R7114,R7115,R7116,R7117,R7123,R7124,R7125,R7126,R7127,R713,R7133,R7134,R7135,R7136,R7137,R714,R7143,R7144,R7145,R7146,R7147,R715,R7153,R7154,R7155,R7156,R7157,R716,R7163,R7164,R7165,R7166,R7167,R717,R723,R724,R725,R726,R727,R733,R734,R735,R736,R737,R743,R744,R745,R746,R747,R753,R754,R755,R756,R757,R763,R764,R765,R766,R767,R773,R774,R775,R776,R777,R783,R784,R785,R786,R787,R793,R794,R795,R796,R797",R_0603_1608Metric,C22935,80
820pF,C1213,CAPC1005X04L,C237511,1
ESD9M5.0ST5G,"D61,D62,D63",SODFL1060X40N,C242267,3
1,R111,R_0402_1005Metric,C25086,1
22,"R112,R121,R122,R123,R124,R23,R61,R62,R63,R91",R_0402_1005Metric,C25092,10
249,R103,R_0402_1005Metric,C25096,1
33,"R113,R114",R_0402_1005Metric,C25105,2
100k,R22,R_0402_1005Metric,C25530,1
120k,R21,R_0402_1005Metric,C25534,1
47k,"R65,R66",CAPC1005X04L,C25563,2
499k,R31,R_0402_1005Metric,C25793,1
5.1k,"R51,R52",R_0402_1005Metric,C25905,2
100pF,C1215,CAPC1005X04L,C26409,1
732k,R32,R_0402_1005Metric,C27016,1
1u,"C11,C114,C12,C125,C129,C13,C14,C21,C22,C23,C24,C41,C42,C811,C813,C821,C823,C831,C833,C841,C843,C851,C853,C861,C863,C871,C873,C881,C883",C_0603_1608Metric,C29936,29
SZYY1615RGB-B 4PIN,D101,LED-SMD_4P-L1.6-W1.5-TR-1,C3029071,1
2.74k,R33,R_0402_1005Metric,C33360,1
TPS7A3001DGNR,U32,HVSSOP-8_L3.0-W3.0-P0.65-LS4.9-BL-EP_DGN0008D,C33835,1
TMUX1248DCKR,U93,SC-70-6_L2.0-W1.3-P0.65-LS2.2-BL,C3656915,1
X201632MMB4SI,X121,CRYSTAL-SMD_4P-L2.0-W1.6-BL,C383840,1
4.7u,C31,C_0603_1608Metric,C389010,1
TYPE-C16PIN,J51,CONN16_C16PIN_SHN,C393939,1
TLV9062IDGKR,"U811,U821,U831,U841,U851,U861,U871,U881",DGK0008A_M,C398356,8
TLV9001IDBVR,"U12,U21",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C398363,2
TPS7A2033YCKR,U11,BGA-4_L0.6-W0.6-P0.35-R2-C2-TL_TPS7A2012PYCJR,C42038768,1
0.1u,C111,C_0603_1608Metric,C45000,1
1.6k,"R811,R812,R813,R814,R821,R822,R823,R824,R831,R832,R833,R834,R841,R842,R843,R844,R851,R852,R853,R854,R861,R862,R863,R864,R871,R872,R873,R874,R881,R882,R883,R884",R_0402_1005Metric,C4908,32
32.768kHz,X122,CRYSTAL-SMD_L2.0-W1.2,C5136974,1
FTSH-105-01-F-DV-K,H61,HDR-SMD_FTSH-105-01-F-DV-K,C5382952,1
100M,"R7101,R711,R7111,R7121,R7131,R7141,R7151,R7161,R721,R731,R741,R751,R761,R771,R781,R791",R_0805_2012Metric,C53884,16
ADS8867IDRCR,U111,WSON-10_L3.0-W3.0-P0.50-BL-EP,C545498,1
OPA2392YBJR,"U7101,U711,U7111,U7121,U7131,U7141,U7151,U7161,U721,U731,U741,U751,U761,U771,U781,U791",DSBGA-9_L1.2-W1.2-R3-C3-P0.40-BL,C5946032,16
100n,"C15,C18,C61,C7101,C7103,C711,C7111,C7113,C7121,C7123,C713,C7131,C7133,C7141,C7143,C7151,C7153,C7161,C7163,C721,C723,C731,C733,C741,C743,C751,C753,C761,C763,C771,C773,C781,C783,C791,C793,C815,C825,C835,C845,C855,C865,C875,C885,C91,C93,C95",C_0402_1005Metric,C71629,46
2.2u,"C34,C7102,C7104,C7112,C7114,C712,C7122,C7124,C7132,C7134,C714,C7142,C7144,C7152,C7154,C7162,C7164,C722,C724,C732,C734,C742,C744,C752,C754,C762,C764,C772,C774,C782,C784,C792,C794,C816,C826,C836,C846,C856,C866,C876,C886,C92,C94,C96",C_0603_1608Metric,C72203,44
BLM18EG101TN1D,"FL11,FL51",BEADC1608X65N,C76893,2
0.5pF,C1212,CAPC1005X04L,C76911,1
0.8pF,C1211,CAPC1005X04L,C76915,1
1n,"C16,C17,C98",C_0402_1005Metric,C76947,3
47n,C97,C_0402_1005Metric,C77012,1
10u,C832,C_0603_1608Metric,C77044,1
0.47u,C25,C_0603_1608Metric,C77052,1
4.7nH,L121,INDC1005X04L,C86065,1
TestPoint,TP2,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP1,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP3,TestPoint_Pad_1.0x1.0mm,,1
